,id,title,date,comments,shares,dislikes,likes,lost_subs,gained_subs,rpm,cpm,average_view_pct,average_view_time,views,watch_time,subscribers,estimated_revenue,impressions,CTRate,face
0,iqG59TqfFdY,5 Data Science Resolutions for 2020,2019-12-27,7,3,0,24,2,5,2.404,22.678,43.75,0:02:12,455,16.6975,3,1.094,34674,0.87,1.0
1,foggudmDDvY,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,6,5,0,18,0,2,3.529,12.105,38.65,0:03:31,482,28.3566,2,1.701,41477,0.69,0.0
2,Zz_Mx1UPswI,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,14,4,0,24,0,7,0.542,12.098,39.37,0:00:44,506,6.3089,7,0.274,25885,0.54,1.0
3,Yr5T3T4tq-g,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,3,0,0,44,0,5,3.374,15.596,58.62,0:02:06,548,19.2752,5,1.849,21780,1.61,1.0
4,3ysXGYjvbSU,Why is Balance Important in Data Science?,2019-10-16,6,2,0,31,3,4,3.275,14.95,52.42,0:02:04,612,21.2073,1,2.004,32650,1.17,1.0
5,XTrlMQXYqts,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,7,1,0,28,2,6,3.578,14.551,48.31,0:02:02,664,22.6338,4,2.376,30810,1.41,1.0
6,j-Z-je6K4Yg,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,3,1,0,35,0,7,3.784,12.59,60.52,0:01:52,721,22.545,7,2.728,18635,2.65,1.0
7,k4r_NtB4JVQ,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,5,8,2,42,2,17,2.445,12.182,34.52,0:02:39,816,36.1463,15,1.995,54472,0.53,1.0
8,aaAZXeuPIXk,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,8,12,0,42,2,9,3.035,9.215,44.83,0:02:51,959,45.6196,7,2.911,70110,0.87,1.0
9,BXmEmIK5aqI,The 5 Stages of Data Science Adoption,2019-12-06,8,16,0,54,0,14,6.916,19.093,43.44,0:02:34,973,41.8022,14,6.722,28238,1.04,1.0
10,FBgs-BSTIJE,Demystifying Data Science Roles,2018-11-30,3,5,1,48,1,8,5.218,16.232,55.55,0:03:28,978,56.593,7,5.103,26202,2.24,1.0
11,KMOA5arCi8g,What I Learned From My Three Degrees,2019-05-17,7,1,1,56,0,13,3.439,13.371,39.58,0:05:01,1079,90.3894,13,3.707,35455,1.93,0.0
12,5jntoZX-Tc8,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,2,5,0,38,0,3,2.651,12.206,16.93,0:03:09,1094,57.6363,3,2.9,34642,1.99,1.0
13,Fs_LG5Y8GIU,Can You Learn Data Science Without a Computer?,2020-03-11,9,7,0,86,0,15,3.408,8.601,50.63,0:01:40,1102,30.8441,15,3.756,50697,1.43,1.0
14,smeFkHwnM_k,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,4,5,0,30,0,47,4.992,37.786,55.43,0:00:28,1225,9.6188,47,6.115,27960,1.01,1.0
15,XoUyK3XHZHs,Watch This Before Applying to Data Science Jobs,2019-02-04,6,5,1,53,0,15,4.408,16.199,38.38,0:03:50,1261,80.6655,15,5.558,33418,1.99,1.0
16,a-Syoa9mPhM,Take Your Data Science Projects From Good to Great,2019-08-05,7,5,0,100,1,14,3.125,13.669,38.74,0:03:07,1414,73.6503,13,4.415,57756,1.44,1.0
17,fjVVtvp5X0w,Why Selling Is An Important Data Science Skill,2019-11-04,7,7,1,70,4,13,4.009,15.217,33.77,0:03:44,1418,88.5893,9,5.685,49396,1.8,1.0
18,RRXWJVX0fE8,6 Habits of Successful Data Scientists,2019-09-13,7,11,0,79,3,29,2.048,10.0,40.08,0:02:19,1591,61.8222,26,3.255,35694,2.43,1.0
19,9ZwVqXUHf6o,When Data Science Goes Wrong,2020-03-30,14,11,1,104,1,20,3.615,10.047,47.49,0:02:49,1668,78.3392,19,6.03,71963,1.56,1.0
20,1UjMBw_7Gi8,Data Science: Startup vs. Large Corporation,2019-03-21,4,3,5,66,0,19,4.906,14.61,47.65,0:02:13,1703,63.1138,19,8.345,44105,2.58,1.0
21,ELFGsNqZrlM,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,14,8,2,96,5,15,3.522,7.881,20.5,0:04:02,1795,120.7192,10,6.322,83137,1.03,1.0
22,3bes4U4MHPg,How to Integrate Data Science into Your Business,2020-03-02,9,13,1,82,3,30,5.618,14.95,49.99,0:02:29,1831,76.2714,27,10.258,49545,2.54,1.0
23,tnpV1etgcxs,The PODCAST you might have asked for?,2020-10-19,39,2,4,94,8,9,3.217,9.61,37.29,0:00:51,1836,26.4346,1,5.906,97476,0.85,1.0
24,qUK5Vk4NvBw,#66DaysOfData Round 3 Live Event! (feat. @StatQuest with Josh Starmer),2021-10-12,4,16,0,133,12,22,3.078,6.219,7.83,0:04:52,2038,165.5004,10,6.269,138024,0.64,1.0
25,9-2OKLZfvbE,Questions You Should Ask Your Data Science Interviewers,2020-01-06,7,14,0,118,0,19,5.635,18.409,45.26,0:04:58,2134,177.0787,19,12.02,62062,2.21,1.0
26,QN3wXPZSjpE,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,172,10,1,115,9,10,3.52,7.263,16.61,0:06:20,2188,231.3275,1,7.701,110441,0.96,1.0
27,6fwyyRgZlD0,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,19,6,1,83,7,12,2.755,7.205,25.16,0:02:48,2242,104.6831,5,6.176,81797,1.71,1.0
28,3BEtGaz70rQ,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,13,9,0,86,2,19,2.365,8.08,34.67,0:03:20,2312,128.4624,17,5.466,92928,1.64,1.0
29, -kX2b6TF_9k,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,11,5,2,66,1,11,1.852,8.087,23.34,0:02:33,2344,99.7075,10,4.342,77802,2.09,0.0
30,6sJEnzDjJqI,Where to Look for Data Science Jobs,2019-03-29,7,10,1,99,0,19,3.993,13.219,41.43,0:02:31,2583,108.8033,19,10.305,51139,3.51,1.0
31,k-gin1qfzi0,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4,32,2,63,0,24,2.358,11.647,11.74,0:02:35,2794,120.371,24,6.582,70051,2.47,1.0
32,ei1m5lDQyBg,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,14,20,2,80,1,29,7.568,12.858,15.98,0:06:05,2794,283.7009,28,21.144,330495,0.54,1.0
33,RAMxzqSMDKE,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,17,14,2,132,6,20,2.411,6.336,25.19,0:04:11,2998,209.5669,14,7.227,88844,1.91,1.0
34,3TrAYmrmA8o,The 9 Books That Changed My Perspective in 2019,2020-01-03,13,12,0,173,2,23,1.806,8.793,23.69,0:03:52,3037,195.876,21,5.485,60048,3.25,1.0
35,UcilY6HDuL8,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,58,12,4,149,2,53,0.0,,24.01,0:00:41,3064,35.0743,51,0.0,400077,0.49,1.0
36,n6MiRgxN5iA,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,25,34,1,189,11,15,4.247,9.533,36.81,0:02:37,3092,134.9815,4,13.118,116219,1.28,1.0
